Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Year,Detected by Radial Velocity Variations,Detected by Pulsar Timing Variations,Detected by Pulsation Timing Variations,Detected by Transits,Detected by Astrometric Variations,Detected by Orbital Brightness Modulations,Detected by Microlensing,Detected by Eclipse Timing Variations,Detected by Imaging,Detected by Disk Kinematics,Controversial Flag,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements
1,2,0,0,2020,1,0,0,0,0,0,0,0,0,0,0,-1.35959,20.54287,11.55951,278.36653,1,0,0,0,0
1,1,0,0,2007,1,0,0,0,0,0,0,0,0,0,0,3.53127,230.52055,-34.9212,119.14067,0,2,0,0,0
1,1,0,0,2008,1,0,0,0,0,0,0,0,0,0,0,-77.87825,95.83026,-17.69021,359.90117,1,1,1,0,0
1,2,0,0,2023,1,0,0,0,0,0,0,0,0,0,0,-70.45622,199.69949,-32.36798,22.68899,1,0,1,0,0
1,2,0,0,2023,1,0,0,0,0,0,0,0,0,0,0,-70.45622,199.69949,-32.36798,22.68899,1,0,1,0,0
1,1,0,0,2020,1,0,0,0,0,0,0,0,0,0,0,-43.1678,175.42689,-12.69914,47.24706,0,0,0,0,0
1,1,0,0,2011,0,0,0,0,0,0,0,0,1,0,0,55.65506,9.59427,25.96906,218.81934,0,0,0,0,0
1,1,0,0,2021,0,0,0,0,0,0,0,0,1,0,0,16.96444,353.60499,-2.20713,249.00827,0,0,0,0,0
1,1,0,0,2006,0,0,0,0,0,0,0,0,1,0,0,-15.92181,297.2776,-66.3331,238.71128,0,0,0,0,0
1,1,0,0,2024,1,0,0,0,0,0,0,0,0,0,0,-16.63607,175.46435,0.86834,70.22299,0,0,0,0,0
1,1,0,0,2021,0,0,0,0,0,0,0,0,1,0,0,-23.12313,288.91588,-76.95252,242.1415,0,0,0,0,0
1,1,0,0,2007,0,0,0,0,0,0,0,0,1,0,0,-14.90929,296.65359,-66.12679,235.83423,0,0,0,0,0
1,1,0,0,2008,1,0,0,1,0,1,0,0,0,0,0,-2.10712,215.33882,-25.9795,103.43795,6,1,0,5,20
1,1,0,0,2010,1,0,0,1,0,0,0,0,0,0,0,-6.95299,37.36069,22.5266,292.89599,0,0,0,0,0
1,1,0,0,2010,1,0,0,1,0,0,0,0,0,0,0,4.63005,37.24009,28.92669,282.16226,0,0,0,0,0
1,1,0,0,2010,1,0,0,1,0,0,0,0,0,0,0,-2.45441,213.13155,-24.29495,101.82309,0,0,0,0,0
1,1,0,0,2010,1,0,0,1,0,0,0,0,0,0,0,-2.43966,217.3986,-27.89339,104.36935,0,0,0,0,0
1,1,0,0,2010,1,0,0,1,0,0,0,0,0,0,0,-2.02059,218.11787,-28.26924,105.21063,0,0,0,0,0
1,1,0,0,2011,1,0,0,1,0,0,0,0,0,0,0,1.1011,25.61433,17.17439,278.87636,0,2,0,0,0
1,1,0,0,2011,1,0,0,1,0,0,0,0,0,0,0,0.66631,25.15299,16.55509,279.01767,0,0,0,0,0
1,1,0,0,2011,1,0,0,1,0,0,0,0,0,0,0,-4.18491,210.8191,-23.2188,98.89441,0,3,0,0,0
1,1,0,0,2011,1,0,0,1,0,0,0,0,0,0,0,-5.26125,210.42057,-23.42296,97.66499,0,4,0,0,0
2,1,0,0,2008,1,0,0,1,0,0,0,0,0,0,0,-7.29102,38.26267,23.0439,293.76505,20,5,0,6,0
1,2,0,0,2011,1,0,0,1,0,0,0,0,0,0,0,-4.4686,210.38123,-22.98779,98.39095,0,0,0,0,0
1,2,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,-4.4686,210.38123,-22.98779,98.39095,0,0,0,0,0
1,1,0,0,2012,1,0,0,1,0,0,0,0,0,0,0,-1.74447,212.37415,-23.27744,102.0459,0,0,0,0,0
1,1,0,0,2014,1,0,0,1,0,0,0,0,0,0,0,4.775,37.48307,29.20889,282.17043,0,0,0,0,0
1,1,0,0,2011,1,0,0,1,0,0,0,0,0,0,0,4.71959,35.41749,27.42413,281.00355,0,1,0,0,0
1,2,0,0,2014,1,0,0,1,0,0,0,0,0,0,0,-2.52763,215.81744,-26.6085,103.33092,0,0,0,0,0
1,2,0,0,2014,1,0,0,1,0,0,0,0,0,0,0,-2.52763,215.81744,-26.6085,103.33092,0,0,0,0,0
1,1,0,0,2013,1,0,0,1,0,0,0,0,0,0,0,4.94113,37.73014,29.50564,282.15248,0,2,0,0,0
1,1,0,0,2013,1,0,0,1,0,0,0,0,0,0,0,5.926,37.74453,30.03087,281.19643,0,1,0,0,0
1,1,0,0,2014,1,0,0,1,0,0,0,0,0,0,0,6.39649,35.89455,28.6935,279.64636,0,1,0,0,0
1,1,0,0,2015,1,0,0,1,0,0,0,0,0,0,0,6.24131,36.01305,28.71575,279.87089,0,0,0,0,0
1,1,0,0,2015,1,0,0,1,0,0,0,0,0,0,0,6.45872,36.92336,29.60462,280.18597,0,0,0,0,0
1,1,0,0,2008,1,0,0,1,0,0,0,0,0,0,0,-8.12065,37.26302,21.75377,293.84289,1,6,0,0,0
1,1,0,0,2020,1,0,0,1,0,0,0,0,0,0,0,7.77355,36.66096,30.04524,278.72682,0,0,0,0,0
1,1,0,0,2020,1,0,0,1,0,0,0,0,0,0,0,-9.16321,213.22491,-27.77069,95.43379,0,0,0,0,0
1,1,0,0,2022,1,0,0,1,0,0,0,0,0,0,0,-7.00809,33.40059,19.30125,290.4896,0,0,0,0,0
1,1,0,0,2022,1,0,0,1,0,0,0,0,0,0,0,7.79576,37.04172,30.38285,278.92331,0,0,0,0,0
1,1,0,0,2008,1,0,0,1,0,0,0,0,0,0,0,-0.89847,213.22759,-23.54991,103.32114,0,2,0,0,0
1,1,0,0,2009,1,0,0,1,0,0,0,0,0,0,0,-1.0362,211.48472,-22.14821,102.18381,0,2,0,0,0
