Planet Name,Host Name,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Discovery Year,Discovery Facility,Discovery Telescope,Discovery Instrument,Controversial Flag,Orbital Period [days],Orbital Period Limit Flag,Planet Radius [Earth Radius],Planet Radius Limit Flag,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Density [g/cm**3],Planet Density Limit Flag,Stellar Effective Temperature [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Luminosity [log(Solar)],Stellar Luminosity Limit Flag,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Total Proper Motion [mas/yr],Total Proper Motion Upper Unc [mas/yr],Total Proper Motion Lower Unc [mas/yr],Proper Motion (RA) [mas/yr],Proper Motion (RA) [mas/yr] Upper Unc,Proper Motion (RA) [mas/yr] Lower Unc,Proper Motion (Dec) [mas/yr],Proper Motion (Dec) [mas/yr] Upper Unc,Proper Motion (Dec) [mas/yr] Lower Unc,Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,B (Johnson) Magnitude,B (Johnson) Magnitude Upper Unc,B (Johnson) Magnitude Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,J (2MASS) Magnitude,J (2MASS) Magnitude Upper Unc,J (2MASS) Magnitude Lower Unc,H (2MASS) Magnitude,H (2MASS) Magnitude Upper Unc,H (2MASS) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc,TESS Magnitude,TESS Magnitude Upper Unc,TESS Magnitude Lower Unc,Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements
GJ 682 b,GJ 682,1,2,0,0,Radial Velocity,2014,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,17.478,0.0,1.93,0.0,4.4,0.0,3.36,0.0,3028.0,0.0,0.3,0.0,0.27,,,0.0,-2.699,0.0,4.93,0.0,-6.63429,345.9806,-20.97147,265.60607,1174.0017621,0.1491618,-0.1491618,-706.117,0.185091,-0.185091,-937.912,0.124267,-0.124267,5.00671,0.0021,-0.0021,1.931,0.047,-0.047,10.94,0.1,-0.1,6.544,0.023,-0.023,5.917,0.038,-0.038,5.606,0.02,-0.02,9.57025,0.001221,-0.001221,8.24607,0.0077153,-0.0077153,1,0,0,0,0
GJ 682 c,GJ 682,1,2,0,0,Radial Velocity,2014,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,57.32,0.0,2.89,0.0,8.7,0.0,1.98,0.0,3028.0,0.0,0.3,0.0,0.27,,,0.0,-2.699,0.0,4.93,0.0,-6.63429,345.9806,-20.97147,265.60607,1174.0017621,0.1491618,-0.1491618,-706.117,0.185091,-0.185091,-937.912,0.124267,-0.124267,5.00671,0.0021,-0.0021,1.931,0.047,-0.047,10.94,0.1,-0.1,6.544,0.023,-0.023,5.917,0.038,-0.038,5.606,0.02,-0.02,9.57025,0.001221,-0.001221,8.24607,0.0077153,-0.0077153,1,0,0,0,0
GJ 685 b,GJ 685,1,1,0,0,Radial Velocity,2019,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,0,24.16,0.0,2.95,0.0,9.0,0.0,1.93,0.0,3816.0,0.0,0.54,0.0,0.55,0.06,-0.06,0.0,-1.253,0.0,4.72,0.0,32.5891,90.75762,84.44466,238.59491,577.2316268,0.0618342,-0.0618342,261.895,0.055416,-0.055416,-514.4,0.0633919,-0.0633919,14.3155,0.0081,-0.0081,11.401,0.012,-0.012,9.98,0.1,-0.1,6.884,0.032,-0.032,6.271,0.017,-0.017,6.066,0.018,-0.018,9.1671,0.000914,-0.000914,8.16639,0.0072987,-0.0072987,1,0,0,0,0
GJ 687 b,GJ 687,1,2,0,0,Radial Velocity,2014,Lick Observatory,2.4 m Automated Planet Finder Telescope,Levy Spectrograph,0,38.142,0.0,4.32,0.0,17.2,0.0,1.17,0.0,3413.0,0.0,0.42,0.0,0.4,0.02,-0.02,0.0,-1.672,0.0,4.86,0.0,31.96608,98.59611,87.12854,139.20392,1309.3944652,0.0709512,-0.0709512,-320.636,0.0737524,-0.0737524,-1269.53,0.0707688,-0.0707688,4.54939,0.00068,-0.00068,10.617,0.046,-0.046,9.15,0.1,-0.1,5.335,0.021,-0.021,4.766,0.033,-0.033,4.548,0.021,-0.021,8.02754,0.000862,-0.000862,6.848,0.032,-0.032,1,0,3,0,0
GJ 687 c,GJ 687,1,2,0,0,Radial Velocity,2020,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,727.562,0.0,4.14,0.0,16.0,0.0,1.24,0.0,3413.0,0.0,0.42,0.0,0.4,0.02,-0.02,0.0,-1.672,0.0,4.82,0.0,31.96608,98.59611,87.12854,139.20392,1309.3944652,0.0709512,-0.0709512,-320.636,0.0737524,-0.0737524,-1269.53,0.0707688,-0.0707688,4.54939,0.00068,-0.00068,10.617,0.046,-0.046,9.15,0.1,-0.1,5.335,0.021,-0.021,4.766,0.033,-0.033,4.548,0.021,-0.021,8.02754,0.000862,-0.000862,6.848,0.032,-0.032,1,0,3,0,0
GJ 720 A b,GJ 720 A,2,1,0,0,Radial Velocity,2021,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,0,19.466,0.0,3.77,0.0,13.64,0.0,1.4,0.0,3837.0,0.0,0.56,0.0,0.57,0.06,-0.06,0.0,-1.217,0.0,4.71,0.0,21.73083,74.39563,68.6608,287.11923,580.2814772,0.05203,-0.05203,452.186,0.0493673,-0.0493673,363.668,0.0558976,-0.0558976,15.5575,0.0061,-0.0061,11.163,0.073,-0.073,9.84,0.1,-0.1,6.881,0.02,-0.02,6.26,0.021,-0.021,6.082,0.016,-0.016,9.10496,0.000491,-0.000491,8.135181,0.0073379,-0.0073379,1,0,0,0,0
GJ 724 b,GJ 724,1,1,0,0,Radial Velocity,2023,Calar Alto Observatory,3.5 m telescope,CARMENES,0,5.101284,0.0,3.27,0.0,10.75,0.0,1.69,0.0,3799.0,0.0,0.52,0.0,0.53,0.03,-0.03,0.0,-1.291,0.0,4.88,0.0,-3.78099,19.82504,9.69842,280.0995,677.8415697,0.0987764,-0.0987764,-94.3221,0.125644,-0.125644,-671.247,0.0981719,-0.0981719,16.9658,0.014,-0.014,12.093,0.038,-0.038,10.638,0.025,-0.025,7.397,0.018,-0.018,6.728,0.053,-0.053,6.546,0.021,-0.021,9.76915,0.000391,-0.000391,8.682,0.013,-0.013,1,0,0,0,0
GJ 740 b,GJ 740,1,1,0,0,Radial Velocity,2021,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,2.37756,0.0,1.53,0.0,2.96,0.0,4.54,0.0,3913.0,0.0,0.56,0.0,0.58,0.06,-0.06,0.0,-1.206,0.0,4.68,0.0,1.23509,38.93233,28.51712,286.46537,1236.1557764,0.0918906,-0.0918906,-196.301,0.0872309,-0.0872309,-1220.47,0.092008,-0.092008,11.1017,0.00605,-0.00605,10.616,0.049,-0.049,9.22,0.1,-0.1,6.239,0.019,-0.019,5.587,0.029,-0.029,5.357,0.021,-0.021,8.45636,0.001102,-0.001102,7.46819,0.0076721,-0.0076721,1,0,0,0,0
GJ 806 b,GJ 806,1,2,0,0,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,0.9263237,0.0,1.331,0.0,1.9,0.0,4.4,0.0,3600.0,0.0,0.41,0.0,0.41,0.01,-0.01,0.0,-1.585,0.0,4.98,0.0,1.00774,84.07015,58.90555,335.63331,511.8037756,0.05067,-0.05067,434.079,0.0472223,-0.0472223,271.143,0.0585871,-0.0585871,12.0445,0.00435,-0.00435,12.495,0.003,-0.003,10.79,0.1,-0.1,7.329,0.018,-0.018,6.769,0.023,-0.023,6.533,0.016,-0.016,9.82461,0.000759,-0.000759,8.72762,0.0073409,-0.0073409,1,0,2,0,0
GJ 806 c,GJ 806,1,2,0,0,Radial Velocity,2023,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,6.64064,0.0,2.28,0.0,5.8,0.0,2.69,0.0,3600.0,0.0,0.41,0.0,0.41,0.01,-0.01,0.0,-1.585,0.0,4.98,0.0,1.00774,84.07015,58.90555,335.63331,511.8037756,0.05067,-0.05067,434.079,0.0472223,-0.0472223,271.143,0.0585871,-0.0585871,12.0445,0.00435,-0.00435,12.495,0.003,-0.003,10.79,0.1,-0.1,7.329,0.018,-0.018,6.769,0.023,-0.023,6.533,0.016,-0.016,9.82461,0.000759,-0.000759,8.72762,0.0073409,-0.0073409,1,0,2,0,0
GJ 832 b,GJ 832,1,1,0,0,Radial Velocity,2008,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,3853.0,0.0,13.8,0.0,314.65012,0.0,0.658,0.0,3472.0,0.0,0.44,0.0,0.45,0.01,-0.01,0.0,-1.585,0.0,4.79,0.0,-46.34872,349.16814,-32.47811,308.61359,817.8892865,0.0637062,-0.0637062,-45.8344,0.070741,-0.070741,-816.604,0.0636828,-0.0636828,4.96435,0.001065,-0.001065,10.34,0.17,-0.17,8.66,0.1,-0.1,5.349,0.032,-0.032,4.766,0.256,-0.256,4.501,0.018,-0.018,7.73761,0.000702,-0.000702,6.68,0.032,-0.032,1,1,0,0,0
GJ 849 b,GJ 849,1,2,0,0,Radial Velocity,2006,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,0,1925.31,0.0,13.9,0.0,283.82077,0.0,0.581,0.0,3467.0,0.0,0.45,0.0,0.45,0.07,-0.07,0.0,-1.59,0.0,4.8,0.0,-45.40318,55.89444,6.27556,332.72015,1132.7461051,0.0811619,-0.0811619,1132.53,0.0811613,-0.0811613,-22.1255,0.0826078,-0.0826078,8.80058,0.003615,-0.003615,11.582,0.115,-0.115,10.41,0.1,-0.1,6.51,0.024,-0.024,5.899,0.044,-0.044,5.594,0.017,-0.017,9.2245,0.000651,-0.000651,8.02198,0.007385,-0.007385,1,1,3,0,0
GJ 849 c,GJ 849,1,2,0,0,Radial Velocity,2014,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,0,5990.0,0.0,13.8,0.0,314.65012,0.0,0.658,0.0,3467.0,0.0,0.45,0.0,0.45,0.07,-0.07,0.0,-1.59,0.0,4.8,0.0,-45.40318,55.89444,6.27556,332.72015,1132.7461051,0.0811619,-0.0811619,1132.53,0.0811613,-0.0811613,-22.1255,0.0826078,-0.0826078,8.80058,0.003615,-0.003615,11.582,0.115,-0.115,10.41,0.1,-0.1,6.51,0.024,-0.024,5.899,0.044,-0.044,5.594,0.017,-0.017,9.2245,0.000651,-0.000651,8.02198,0.007385,-0.007385,1,1,3,0,0
GJ 86 b,GJ 86,2,1,0,0,Radial Velocity,1999,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,15.76491,0.0,12.9,0.0,1404.8086,0.0,3.6,0.0,5182.0,0.0,0.77,0.0,0.93,0.06,-0.06,0.0,-0.39,0.0,4.63,0.0,-61.95722,275.90766,-57.8527,0.44407,2218.591653,0.0738857,-0.0738857,2124.85,0.0747553,-0.0747553,638.092,0.0634483,-0.0634483,10.7836,0.0054,-0.0053,6.945,0.02,-0.02,6.12,0.03,-0.03,4.785,0.248,-0.248,4.245,0.28,-0.28,4.125,0.036,-0.036,5.88516,0.0007256,-0.0007256,5.3588,0.0061,-0.0061,1,3,0,0,0
GJ 876 b,GJ 876,1,4,0,0,Radial Velocity,1998,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,61.1166,0.0,13.3,0.0,723.2235,0.0,1.69,0.0,3293.74,0.0,0.3,0.0,0.32,0.03,-0.03,0.0,-1.907,0.0,4.87,0.0,-59.63511,52.00313,-6.63092,339.17192,1171.1009489,0.1123822,-0.1123822,957.961,0.117383,-0.117383,-673.638,0.101519,-0.101519,4.67517,0.00167,-0.00167,11.73,0.121,-0.121,10.16,0.1,-0.1,5.934,0.019,-0.019,5.349,0.049,-0.049,5.01,0.021,-0.021,8.8753,0.00145,-0.00145,7.57703,0.0074424,-0.0074424,3,4,13,0,0
GJ 876 c,GJ 876,1,4,0,0,Radial Velocity,2000,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,30.0881,0.0,14.0,0.0,226.9846,0.0,0.455,0.0,3293.74,0.0,0.3,0.0,0.32,0.03,-0.03,0.0,-1.907,0.0,4.87,0.0,-59.63511,52.00313,-6.63092,339.17192,1171.1009489,0.1123822,-0.1123822,957.961,0.117383,-0.117383,-673.638,0.101519,-0.101519,4.67517,0.00167,-0.00167,11.73,0.121,-0.121,10.16,0.1,-0.1,5.934,0.019,-0.019,5.349,0.049,-0.049,5.01,0.021,-0.021,8.8753,0.00145,-0.00145,7.57703,0.0074424,-0.0074424,3,4,13,0,0
GJ 876 d,GJ 876,1,4,0,0,Radial Velocity,2005,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,0,1.93778,0.0,2.51,0.0,6.83,0.0,2.37,0.0,3293.74,0.0,0.3,0.0,0.32,0.03,-0.03,0.0,-1.907,0.0,4.87,0.0,-59.63511,52.00313,-6.63092,339.17192,1171.1009489,0.1123822,-0.1123822,957.961,0.117383,-0.117383,-673.638,0.101519,-0.101519,4.67517,0.00167,-0.00167,11.73,0.121,-0.121,10.16,0.1,-0.1,5.934,0.019,-0.019,5.349,0.049,-0.049,5.01,0.021,-0.021,8.8753,0.00145,-0.00145,7.57703,0.0074424,-0.0074424,3,4,13,0,0
GJ 876 e,GJ 876,1,4,0,0,Radial Velocity,2010,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,0,124.26,0.0,3.92,0.0,14.6,0.0,1.33,0.0,3271.0,0.0,0.3,0.0,0.32,0.03,-0.03,0.0,-1.907,0.0,4.87,0.0,-59.63511,52.00313,-6.63092,339.17192,1171.1009489,0.1123822,-0.1123822,957.961,0.117383,-0.117383,-673.638,0.101519,-0.101519,4.67517,0.00167,-0.00167,11.73,0.121,-0.121,10.16,0.1,-0.1,5.934,0.019,-0.019,5.349,0.049,-0.049,5.01,0.021,-0.021,8.8753,0.00145,-0.00145,7.57703,0.0074424,-0.0074424,3,4,13,0,0
GJ 887 b,GJ 887,1,2,0,0,Radial Velocity,2020,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,0,9.262,0.0,1.88,0.0,4.2,0.0,3.47,0.0,3688.0,0.0,0.47,0.0,0.49,0.05,-0.05,0.0,-1.434,0.0,4.78,0.0,-65.95709,5.10081,-27.51181,332.68432,6896.07,0.7,,6767.26,0.7,,1326.66,0.74,,3.29,0.01,-0.01,8.84,,,7.56,0.2,-0.2,4.338,0.258,-0.258,3.608,0.23,-0.23,3.465,0.2,-0.2,6.52199,0.000896,-0.000896,5.5664,0.0061,-0.0061,1,0,2,0,0
GJ 887 c,GJ 887,1,2,0,0,Radial Velocity,2020,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,0,21.789,0.0,2.67,0.0,7.6,0.0,2.19,0.0,3688.0,0.0,0.47,0.0,0.49,0.05,-0.05,0.0,-1.434,0.0,4.78,0.0,-65.95709,5.10081,-27.51181,332.68432,6896.07,0.7,,6767.26,0.7,,1326.66,0.74,,3.29,0.01,-0.01,8.84,,,7.56,0.2,-0.2,4.338,0.258,-0.258,3.608,0.23,-0.23,3.465,0.2,-0.2,6.52199,0.000896,-0.000896,5.5664,0.0061,-0.0061,1,0,2,0,0
GJ 896 A b,GJ 896 A,2,1,0,0,Astrometry,2022,Very Long Baseline Array,Multiple Telescopes,Multiple Instruments,0,284.39,0.0,13.3,0.0,718.2922,0.0,1.68,0.0,3345.0,0.0,0.39,0.0,0.44,0.0,0.0,0.0,-1.755,0.0,4.83,0.0,-39.14311,98.57856,21.01514,1.84254,580.6759005,0.1321695,-0.1321695,577.605,0.132502,-0.132502,-59.6403,0.0959919,-0.0959919,6.26022,0.003265,-0.003265,11.85,,,10.05,0.1,-0.1,6.162,0.024,-0.024,5.575,0.021,-0.021,5.326,0.018,-0.018,9.03758,0.000673,-0.000673,7.79421,0.0074577,-0.0074577,1,0,0,0,0
GJ 9066 c,GJ 9066,1,1,0,0,Radial Velocity,2020,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,771.36,0.0,9.6,0.0,66.74397,0.0,0.415,0.0,3154.0,0.0,0.16,0.0,0.15,0.01,-0.01,0.0,-2.595,0.0,5.01,0.0,-46.49657,147.66932,0.74367,32.51135,2084.5806325,0.1579132,-0.1579132,1096.56,0.17114,-0.17114,-1772.86,0.15255,-0.15255,4.471,0.00215,-0.00215,14.08,0.025,,12.71,0.2,-0.2,7.514,0.017,-0.017,6.97,0.027,-0.027,6.648,0.017,-0.017,10.6711,0.00094,-0.00094,9.29741,0.0088524,-0.0088524,0,0,0,0,0
GJ 9404 b,GJ 9404,1,1,0,0,Radial Velocity,2023,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,0,13.4586,0.0,3.48,0.0,11.9,0.0,1.55,0.0,3811.0,0.0,0.63,0.0,0.62,0.07,-0.07,0.0,-1.0,0.0,4.63,0.0,82.80097,201.04684,27.75583,172.14518,652.5197868,0.0688085,-0.0688085,-647.719,0.068956,-0.068956,79.0074,0.0580446,-0.0580446,23.8839,0.0254,-0.0253,12.037,0.165,-0.165,10.62,0.1,-0.1,7.666,0.023,-0.023,6.965,0.033,-0.033,6.796,0.02,-0.02,9.87021,0.00096,-0.00096,8.85,0.032,-0.032,1,0,1,0,0
GJ 96 b,GJ 96,1,1,0,0,Radial Velocity,2018,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,0,73.94,0.0,4.67,0.0,19.66,0.0,1.06,0.0,3785.0,0.0,0.58,0.0,0.6,0.07,-0.07,0.0,-1.052,0.0,4.67,0.0,-12.26466,138.29282,31.69378,50.11757,219.8002602,0.1186624,-0.1186624,215.926,0.119272,-0.119272,41.0867,0.100373,-0.100373,11.9315,0.0093,-0.0093,10.821,0.079,-0.079,9.4,0.1,-0.1,6.377,0.019,-0.019,5.77,0.038,-0.038,5.554,0.026,-0.026,8.63186,0.000584,-0.000584,7.64213,0.0074227,-0.0074227,1,0,2,0,0
GJ 9689 b,GJ 9689,1,1,0,0,Radial Velocity,2020,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,0,18.27,0.0,3.07,0.0,9.65,0.0,1.83,0.0,3836.0,0.0,0.57,0.0,0.59,0.06,-0.06,0.0,-1.2,0.0,4.69,0.0,-11.48747,54.62427,32.36134,309.42887,422.35657,0.0571255,-0.0571255,421.921,0.0571368,-0.0571368,19.1766,0.0513736,-0.0513736,30.6203,0.04185,-0.04185,12.728,0.018,-0.018,11.297,0.013,-0.013,8.309,0.029,-0.029,7.633,0.021,-0.021,7.468,0.021,-0.021,10.5372,0.000444,-0.000444,9.54885,0.0072543,-0.0072543,1,0,0,0,0
GJ 9714 b,GJ 9714,1,1,0,0,Radial Velocity,2022,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,19240.75467,0.0,12.5,0.0,2988.54051,0.0,8.41,0.0,4263.0,0.0,0.66,0.0,0.67,0.08,-0.08,0.0,-0.884,0.0,4.62,0.0,-40.46332,12.01411,-14.94345,308.423,274.8058078,0.0738186,-0.0738186,246.31,0.0763601,-0.0763601,-121.859,0.0623683,-0.0623683,20.5121,0.0247,-0.0247,10.613,0.053,-0.053,9.37,0.03,-0.03,6.984,0.023,-0.023,6.392,0.04,-0.04,6.221,0.021,-0.021,8.8377,0.000257,-0.000257,8.0848,0.006,-0.006,1,0,0,0,0
GJ 9827 b,GJ 9827,1,3,0,0,Transit,2017,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,1.208974,0.0,1.44,0.0,4.28,0.0,7.858,0.0,4236.0,0.0,0.58,0.0,0.62,0.04,-0.04,0.0,-0.942,0.0,4.72,0.0,-57.18299,81.34803,2.08221,351.93155,433.6784124,0.089114,-0.089114,376.019,0.0944988,-0.0944988,216.071,0.0703346,-0.0703346,29.661,0.0543,-0.0541,11.588,0.034,-0.034,10.37,0.03,-0.03,7.984,0.02,-0.02,7.379,0.042,-0.042,7.193,0.024,-0.024,9.83773,0.000411,-0.000411,9.0684,0.006,-0.006,1,0,0,0,0
GJ 9827 c,GJ 9827,1,3,0,0,Transit,2017,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,3.648103,0.0,1.13,0.0,1.86,0.0,7.142,0.0,4236.0,0.0,0.58,0.0,0.62,0.04,-0.04,0.0,-0.942,0.0,4.72,0.0,-57.18299,81.34803,2.08221,351.93155,433.6784124,0.089114,-0.089114,376.019,0.0944988,-0.0944988,216.071,0.0703346,-0.0703346,29.661,0.0543,-0.0541,11.588,0.034,-0.034,10.37,0.03,-0.03,7.984,0.02,-0.02,7.379,0.042,-0.042,7.193,0.024,-0.024,9.83773,0.000411,-0.000411,9.0684,0.006,-0.006,1,0,0,0,0
GJ 9827 d,GJ 9827,1,3,0,0,Transit,2017,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,6.201812,0.0,1.89,0.0,3.02,0.0,2.454,0.0,4236.0,0.0,0.58,0.0,0.62,0.04,-0.04,0.0,-0.942,0.0,4.72,0.0,-57.18299,81.34803,2.08221,351.93155,433.6784124,0.089114,-0.089114,376.019,0.0944988,-0.0944988,216.071,0.0703346,-0.0703346,29.661,0.0543,-0.0541,11.588,0.034,-0.034,10.37,0.03,-0.03,7.984,0.02,-0.02,7.379,0.042,-0.042,7.193,0.024,-0.024,9.83773,0.000411,-0.000411,9.0684,0.006,-0.006,1,0,0,0,0
GPX-1 b,GPX-1,1,1,0,0,Transit,2021,Acton Sky Portal Observatory,279mm RASA-11 wide-field telescope,FLI ML16200 camera,0,1.744579,0.0,16.477,0.0,6261.21962,0.0,8.222423,0.0,7000.0,0.0,1.56,0.0,1.68,0.1,-0.1,0.0,0.727,0.0,4.27,0.0,-4.05517,136.89331,38.52664,55.93745,3.252516,0.067001,-0.067001,-3.2521,0.0669971,-0.0669971,0.052018,0.0807168,-0.0807168,655.013,17.102,-16.269,12.74,0.043,-0.043,12.316,0.069,-0.069,11.357,0.026,-0.026,11.221,0.024,-0.024,11.181,0.021,-0.021,12.2228,0.000237,-0.000237,11.9004,0.0099,-0.0099,0,0,0,0,0
GQ Lup b,GQ Lup,1,1,0,0,Imaging,2004,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,,,33.6,0.0,6356.0,0.0,0.921,0.0,4360.0,0.0,1.94,0.0,0.7,,,0.0,-0.072,0.0,3.65,0.0,14.51078,338.9253,-15.23388,242.93702,27.5688043,0.0757897,-0.0757897,-14.2572,0.0973036,-0.0973036,-23.596,0.0662159,-0.0662159,151.169,1.096,-1.081,12.76,0.585,-0.585,11.593,0.137,-0.137,8.605,0.021,-0.021,7.702,0.033,-0.033,7.096,0.02,-0.02,11.2608,0.008872,-0.008872,10.3965,0.0107,-0.0107,0,0,0,0,0
GSC 06214-00210 b,GSC 06214-00210,1,1,0,0,Imaging,2010,Palomar Observatory,5.1 m Hale Telescope,PHARO Camera,0,,,20.176,0.0,5000.0,0.0,3.35,0.0,4200.0,0.0,0.9,0.0,0.9,0.1,-0.1,0.0,-0.42,0.0,4.37,0.0,20.12464,355.26184,0.79616,247.15487,36.7688781,0.0806414,-0.0806414,-19.3788,0.103129,-0.103129,-31.2476,0.0700972,-0.0700972,108.5,0.513,-0.508,13.645,0.041,-0.041,12.416,0.046,-0.046,9.998,0.027,-0.027,9.342,0.024,-0.024,9.152,0.021,-0.021,11.8633,0.001533,-0.001533,11.0754,0.0067,-0.0067,0,0,0,0,0
GU Psc b,GU Psc,1,1,0,0,Imaging,2014,Gemini Observatory,8.19 m Gemini South Telescope,GMOS Spectrograph,0,,,14.179,0.0,3591.3,0.0,6.92,0.0,4031.81,0.0,0.45,0.0,0.33,0.03,-0.03,0.0,-1.602,0.0,4.78,0.0,-45.51002,130.15305,8.6738,23.22905,139.5744596,0.1170784,-0.1170784,96.6423,0.127013,-0.127013,-100.704,0.107117,-0.107117,47.5501,0.1649,-0.1638,15.576,0.038,-0.038,14.146,0.099,-0.099,10.211,0.022,-0.022,9.598,0.022,-0.022,9.345,0.015,-0.015,12.9656,0.001676,-0.001676,11.7605,0.0076529,-0.0076529,0,0,0,0,0
Gaia-1 b,Gaia-1,1,1,0,0,Transit,2022,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,Gaia CCD array,0,3.052524,0.0,13.776,0.0,533.95172,0.0,1.12,0.0,5470.0,0.0,0.95,0.0,0.95,0.07,-0.07,0.0,-0.159,0.0,4.44,0.0,-11.12207,207.81493,-24.01482,90.70463,41.1104394,0.0428576,-0.0428576,5.93345,0.0424305,-0.0424305,-40.68,0.0428666,-0.0428666,363.66,3.058,-3.008,13.956,0.058,-0.058,13.242,0.092,-0.092,11.711,0.023,-0.023,11.368,0.024,-0.024,11.269,0.021,-0.021,12.9988,0.000734,-0.000734,12.4821,0.0062,-0.0062,0,0,0,0,0
Gaia-2 b,Gaia-2,1,1,0,0,Transit,2022,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,Gaia CCD array,0,3.6915224,0.0,14.818,0.0,259.66581,0.0,0.439,0.0,5720.0,0.0,1.06,0.0,1.0,0.1,-0.1,0.0,0.057,0.0,4.37,0.0,27.88329,148.61097,44.60977,101.08324,25.003903,0.0350959,-0.0350959,6.90662,0.0296175,-0.0296175,24.0311,0.0355107,-0.0355107,209.229,1.134,-1.121,11.816,0.119,-0.119,11.277,0.008,-0.008,10.128,0.022,-0.022,9.818,0.021,-0.021,9.742,0.015,-0.015,11.1968,0.000468,-0.000468,10.7447,0.006,-0.006,0,0,0,0,0
Gl 378 b,Gl 378,1,1,0,0,Radial Velocity,2019,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,0,3.822,0.0,3.66,0.0,13.02,0.0,1.46,0.0,3879.0,0.0,0.56,0.0,0.56,0.01,-0.01,0.0,-1.222,0.0,4.69,0.0,51.19188,168.74261,33.51795,134.2682,1605.1016236,0.0557703,-0.0557703,-633.076,0.058919,-0.058919,-1474.98,0.0551706,-0.0551706,14.9545,0.00725,-0.00725,11.366,0.069,-0.069,10.03,0.1,-0.1,6.949,0.02,-0.02,6.355,0.024,-0.024,6.16,0.016,-0.016,9.26515,0.000412,-0.000412,8.25157,0.0072869,-0.0072869,1,0,0,0,0
Gl 49 b,Gl 49,2,1,0,0,Radial Velocity,2019,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,13.8508,0.0,2.24,0.0,5.63,0.0,2.75,0.0,3805.0,0.0,0.51,0.0,0.52,0.02,-0.02,0.0,-1.306,0.0,4.69,0.0,-0.49786,124.23545,49.71241,46.28156,736.7380754,0.0410843,-0.0410843,731.135,0.0409726,-0.0409726,90.6896,0.0477899,-0.0477899,9.8528,0.00328,-0.00328,11.018,0.045,-0.045,9.56,0.1,-0.1,6.23,0.021,-0.021,5.582,0.024,-0.024,5.371,0.02,-0.02,8.66282,0.000685,-0.000685,7.59661,0.0073266,-0.0073266,1,0,0,0,0
