Planet Name,Host Name,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Discovery Year,Discovery Facility,Discovery Telescope,Discovery Instrument,Controversial Flag,Orbital Period [days],Orbital Period Limit Flag,Planet Radius [Earth Radius],Planet Radius Limit Flag,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Density [g/cm**3],Planet Density Limit Flag,Stellar Effective Temperature [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Luminosity [log(Solar)],Stellar Luminosity Limit Flag,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Total Proper Motion [mas/yr],Total Proper Motion Upper Unc [mas/yr],Total Proper Motion Lower Unc [mas/yr],Proper Motion (RA) [mas/yr],Proper Motion (RA) [mas/yr] Upper Unc,Proper Motion (RA) [mas/yr] Lower Unc,Proper Motion (Dec) [mas/yr],Proper Motion (Dec) [mas/yr] Upper Unc,Proper Motion (Dec) [mas/yr] Lower Unc,Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,B (Johnson) Magnitude,B (Johnson) Magnitude Upper Unc,B (Johnson) Magnitude Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,J (2MASS) Magnitude,J (2MASS) Magnitude Upper Unc,J (2MASS) Magnitude Lower Unc,H (2MASS) Magnitude,H (2MASS) Magnitude Upper Unc,H (2MASS) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc,TESS Magnitude,TESS Magnitude Upper Unc,TESS Magnitude Lower Unc,Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements
Kepler-1380 b,Kepler-1380,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,10.3108245,0.0,1.43,0.0,2.63,0.0,4.94,0.0,5570.0,0.0,0.94,0.0,0.96,0.05,-0.04,0.0,0.473,0.0,4.48,0.0,14.33173,73.60145,63.91431,301.45708,8.4936084,0.0602835,-0.0602835,-2.80799,0.0586885,-0.0586885,-8.01602,0.0604763,-0.0604763,2462.94,192.92,-167.43,16.557,0.0,0.0,15.816,0.217,-0.217,14.31,0.021,-0.021,14.003,0.039,-0.039,13.883,0.041,-0.041,15.6136,0.00051,-0.00051,15.0806,0.0062,-0.0062,0,0,0,0,0
Kepler-1381 b,Kepler-1381,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,25.3842686,0.0,2.25,0.0,5.69,0.0,2.74,0.0,5747.0,0.0,0.94,0.0,0.96,0.05,-0.07,0.0,-0.117,0.0,4.48,0.0,17.14845,79.45768,70.01129,305.55051,1.2207471,0.0536271,-0.0536271,0.3468,0.0524633,-0.0524633,-1.17045,0.0537281,-0.0537281,1197.04,39.17,-36.81,16.506,0.072,-0.072,15.579,0.469,-0.469,14.439,0.035,-0.035,14.038,0.043,-0.043,14.022,0.058,-0.058,15.4776,0.000466,-0.000466,15.0047,0.0068,-0.0068,0,0,0,0,0
Kepler-1382 b,Kepler-1382,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,16.3583055,0.0,1.88,0.0,4.19,0.0,3.47,0.0,6161.0,0.0,1.72,0.0,1.36,0.12,-0.1,0.0,0.572,0.0,4.1,0.0,7.90013,72.98747,58.99241,310.24862,6.3674265,0.0929909,-0.0929909,5.59701,0.0920363,-0.0920363,3.03605,0.0961642,-0.0961642,738.261,30.594,-28.289,13.462,0.06,-0.06,12.857,0.103,-0.103,11.681,0.021,-0.021,11.416,0.022,-0.022,11.359,0.018,-0.018,12.7575,0.001403,-0.001403,12.3259,0.0082,-0.0082,0,0,0,0,0
Kepler-1383 b,Kepler-1383,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,13.9093583,0.0,1.41,0.0,2.57,0.0,5.04,0.0,6370.0,0.0,1.44,0.0,1.26,0.24,-0.16,0.0,0.568,0.0,4.23,0.0,7.73748,76.71693,61.22827,316.16603,6.2588915,0.0397281,-0.0397281,-2.33371,0.0330193,-0.0330193,-5.80754,0.0407079,-0.0407079,1027.21,23.36,-23.36,14.273,0.013,-0.013,13.832,0.08,-0.08,12.65,0.022,-0.022,12.364,0.018,-0.018,12.319,0.02,-0.02,13.7077,0.000348,-0.000348,13.2806,0.0096,-0.0096,0,0,0,0,0
Kepler-1384 b,Kepler-1384,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,15.36262753,0.0,1.94,0.0,4.42,0.0,3.33,0.0,4919.0,0.0,0.74,0.0,0.78,0.04,-0.05,0.0,-0.539,0.0,4.6,0.0,7.56416,73.72695,59.22474,311.75212,21.5573249,2.1087698,-2.1087698,-21.3017,2.10772,-2.10772,-3.30996,2.1518,-2.1518,618.0,39.97,-39.063,14.837,0.07,-0.07,15.7578,0.0461,-0.0461,13.786,0.037,-0.037,13.276,0.043,-0.043,13.074,0.034,-0.034,15.446,0.004624,-0.004624,14.8005,0.0076,-0.0076,0,0,0,0,0
Kepler-1385 b,Kepler-1385,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,2.88879862,0.0,0.85,0.0,0.543,0.0,4.86,0.0,5732.0,0.0,1.29,0.0,1.15,0.1,-0.05,0.0,0.45,0.0,4.27,0.0,19.45674,76.02087,68.84168,294.65679,12.0115527,0.062477,-0.062477,-5.33146,0.0663054,-0.0663054,-10.7635,0.0615013,-0.0615013,688.795,15.953,-15.259,13.809,0.067,-0.067,12.947,0.092,-0.092,11.724,0.023,-0.023,11.394,0.018,-0.018,11.361,0.011,-0.011,12.8443,0.000195,-0.000195,12.3751,0.0064,-0.0064,0,0,0,0,0
Kepler-1386 b,Kepler-1386,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,6.73972381,0.0,1.24,0.0,2.07,0.0,5.97,0.0,5733.0,0.0,1.03,0.0,1.02,0.06,-0.05,0.0,0.009,0.0,4.41,0.0,19.39739,71.7217,65.35017,289.34333,6.8674444,0.0351951,-0.0351951,-0.54794,0.0333258,-0.0333258,6.84555,0.0352068,-0.0352068,835.882,12.625,-12.262,15.526,0.038,-0.038,14.597,0.114,-0.114,13.211,0.026,-0.026,12.919,0.023,-0.023,12.87,0.021,-0.021,14.4168,0.000282,-0.000282,13.9202,0.0068,-0.0068,0,0,0,0,0
Kepler-1387 b,Kepler-1387,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,2.27952666,0.0,0.93,0.0,0.749,0.0,5.12,0.0,5046.0,0.0,0.77,0.0,0.82,0.04,-0.04,0.0,-0.56,0.0,4.58,0.0,11.78455,75.69521,63.65494,308.82454,20.5153613,0.0374802,-0.0374802,-10.2082,0.0391307,-0.0391307,-17.7953,0.0369209,-0.0369209,455.358,4.222,-4.222,15.713,0.009,-0.009,14.727,0.046,-0.046,13.06,0.022,-0.022,12.57,0.023,-0.023,12.514,0.028,-0.028,14.5804,0.000347,-0.000347,13.9551,0.0071,-0.0071,0,0,0,0,0
Kepler-1388 b,Kepler-1388,1,4,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,12.2854603,0.0,2.59,0.0,7.22,0.0,2.28,0.0,4098.0,0.0,0.61,0.0,0.63,0.02,-0.03,0.0,-1.107,0.0,4.67,0.0,19.2323,76.88378,69.39205,296.45409,16.9319994,0.0761855,-0.0761855,-7.31509,0.0682098,-0.0682098,-15.2703,0.0779006,-0.0779006,453.795,7.4825,-7.4825,18.23,0.065,-0.065,16.43,1.133,-1.133,14.222,0.03,-0.03,13.516,0.031,-0.031,13.343,0.042,-0.042,16.2941,0.000761,-0.000761,15.3574,0.0075917,-0.0075917,0,0,0,0,0
Kepler-1388 c,Kepler-1388,1,4,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,5.53608151,0.0,2.26,0.0,5.73,0.0,2.73,0.0,4098.0,0.0,0.61,0.0,0.63,0.02,-0.03,0.0,-1.107,0.0,4.67,0.0,19.2323,76.88378,69.39205,296.45409,16.9319994,0.0761855,-0.0761855,-7.31509,0.0682098,-0.0682098,-15.2703,0.0779006,-0.0779006,453.795,7.4825,-7.4825,18.23,0.065,-0.065,16.43,1.133,-1.133,14.222,0.03,-0.03,13.516,0.031,-0.031,13.343,0.042,-0.042,16.2941,0.000761,-0.000761,15.3574,0.0075917,-0.0075917,0,0,0,0,0
